Iter,veh_driving_time
1,292
1,308
1,292
1,306
1,360
1,336
1,321
1,359
1,329
1,310
1,307
1,384
1,346
1,316
1,303
1,349
1,348
1,336
1,367
1,292
1,310
1,390
1,460
1,320
1,326
1,465
1,317
1,333
1,462
1,522
1,337
1,400
1,323
1,424
1,319
1,371
1,341
1,548
1,369
1,408
1,333
1,354
1,326
1,292
1,292
1,398
1,394
1,552
1,306
1,292
1,359
1,340
1,531
1,292
1,315
1,491
1,391
1,385
1,370
1,310
1,292
1,532
1,309
1,292
1,558
1,352
1,379
1,331
1,414
1,339
1,292
1,341
1,426
1,349
1,292
1,335
1,316
1,292
1,604
1,565
1,292
1,349
1,333
1,348
1,409
1,523
1,365
1,320
1,292
1,511
1,303
1,334
1,430
1,292
1,593
1,349
1,355
1,331
1,368
1,323
1,349
1,292
1,632
1,308
1,331
1,292
1,491
1,421
1,503
1,378
1,315
1,346
1,292
1,349
1,317
1,401
1,292
1,339
1,490
1,539
1,292
1,292
1,348
1,351
1,306
1,349
1,331
1,407
1,292
1,369
1,349
1,320
1,292
1,407
1,307
1,627
1,367
1,587
1,505
1,351
1,292
1,306
1,378
1,358
1,292
1,344
1,377
1,307
1,399
1,354
1,441
1,553
1,349
1,310
1,548
1,580
1,320
1,531
1,309
1,331
1,292
1,493
1,333
1,292
1,405
1,331
1,323
1,396
1,571
1,482
1,479
1,391
1,381
1,357
1,292
1,426
1,292
1,303
1,499
1,446
1,358
1,402
1,341
1,310
1,381
1,371
1,328
1,320
1,292
1,540
1,417
1,292
1,407
1,317
1,521
1,303
1,650
1,423
1,418
1,348
1,306
1,316
1,332
1,292
1,292
1,502
1,309
1,323
1,303
1,399
1,436
1,292
1,331
1,337
1,421
1,490
1,456
1,316
1,339
1,387
1,292
1,549
1,364
1,328
1,554
1,506
1,382
1,369
1,345
1,307
1,335
1,304
1,547
1,373
1,331
1,479
1,292
1,361
1,379
1,320
1,379
1,321
1,311
1,542
1,292
1,332
1,380
1,304
1,372
1,499
1,327
