link_no,name,LRP_Start,Offset_Start,Chainage_Start,LRP_End,Offset_End,Chainage_End,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),road_name,lon_start,lat_start,lon_end,lat_end,lon_mid,lat_mid,mid_geometry,geometry
N703-2,Int more N704-Int more R745,LRP001,986,1.986,LRP001,1070,2.07,0.084,10.0,327.0,245.0,180.0,205.0,174.0,35.0,165.0,1625.0,1193.0,1064.0,837.0,0.0,4159.0,1901.0,6060.0,6060.0,N703,89.1820827,23.5429441,89.1820827,23.5429441,89.1820827,23.5429441,POINT (89.1820827 23.5429441),"LINESTRING (89.1820827 23.5429441, 89.1820827 23.5429441)"
N703-3,Int with R745-Hamdah (Int with N712),LRP001,1070,2.07,LRPE,0,3.49,1.420,10.0,327.0,245.0,180.0,205.0,174.0,35.0,165.0,1625.0,1193.0,1064.0,837.0,0.0,4159.0,1901.0,6060.0,6060.0,N703,89.1820827,23.5429441,89.170916,23.5324716,89.17649935,23.53770785,POINT (89.17649935 23.53770785),"LINESTRING (89.1820827 23.5429441, 89.170916 23.5324716)"
N2-1,Katchpur-Tarabo (Int with R201),LRPS,0,0,LRP002,1147,2.313,2.313,239.0,4475.0,1996.0,3707.0,794.0,3417.0,446.0,3024.0,4643.0,567.0,409.0,942.0,0.0,23308.0,1351.0,24659.0,24659.0,N2,90.5214438,23.7059167,90.5168327,23.7151389,90.51913825,23.7105278,POINT (90.51913825 23.7105278),"LINESTRING (90.5214438 23.7059167, 90.5168327 23.7151389)"
N2-2,Tarabo(Int with R 201)-Barpa(Int. with Z1090 LGED Road),LRP002,1147,2.313,LRP006,900,6.076,3.763,227.0,4684.0,1904.0,1466.0,1026.0,1513.0,637.0,1458.0,3517.0,813.0,190.0,522.0,0.0,17245.0,712.0,17957.0,17957.0,N2,90.5168327,23.7151389,90.5322493,23.7431108,90.524541,23.729124849999998,POINT (90.524541 23.729124849999998),"LINESTRING (90.5168327 23.7151389, 90.5322493 23.7431108)"
N2-3,Barpa(Int. with Z1090 LGED Road)-Bhulta (Int.with R202),LRP006,900,6.076,LRP011,915,11.111,5.035,237.0,4415.0,1904.0,1451.0,1018.0,1422.0,659.0,1473.0,4094.0,1075.0,393.0,3205.0,0.0,17748.0,3598.0,21346.0,21346.0,N2,90.5322493,23.7431108,90.5616667,23.7774716,90.546958,23.760291199999998,POINT (90.546958 23.760291199999998),"LINESTRING (90.5322493 23.7431108, 90.5616667 23.7774716)"
N2-4,Bhulta (Int.with R202)-Bhulta (Int.with R203),LRP011,915,11.111,LRP011,1781,11.977,0.866,237.0,4415.0,1904.0,1451.0,1018.0,1422.0,659.0,1473.0,4094.0,1075.0,393.0,3205.0,0.0,17748.0,3598.0,21346.0,21346.0,N2,90.5616667,23.7774716,90.5616667,23.7774716,90.5616667,23.7774716,POINT (90.5616667 23.7774716),"LINESTRING (90.5616667 23.7774716, 90.5616667 23.7774716)"
N2-5,Bhulta (Int.with R203)-Panchdona (Int.with R301),LRP011,1781,11.977,LRP030,999,30.225,18.248,244.0,1432.0,1041.0,961.0,1220.0,1068.0,152.0,1098.0,3128.0,899.0,218.0,1142.0,0.0,11243.0,1360.0,12603.0,12603.0,N2,90.5616667,23.7774716,90.6658056,23.8846108,90.61373615,23.8310412,POINT (90.61373615 23.8310412),"LINESTRING (90.5616667 23.7774716, 90.6658056 23.8846108)"
N2-6,Panchdona-Shahepratap(Int.with R210),LRP030,999,30.225,LRP033,1280,33.536,3.311,70.0,1743.0,976.0,2192.0,437.0,1319.0,84.0,1392.0,2708.0,1305.0,304.0,651.0,0.0,12226.0,955.0,13181.0,13181.0,N2,90.6658056,23.8846108,90.6825549,23.8994163,90.67418025,23.89201355,POINT (90.67418025 23.89201355),"LINESTRING (90.6658056 23.8846108, 90.6825549 23.8994163)"
N2-7,Shahepratap(Int.with R210)-Itakhola(Int.with R211),LRP033,1280,33.536,LRP042,1831,43.097,9.561,70.0,1743.0,976.0,2192.0,437.0,1319.0,84.0,1392.0,2708.0,1305.0,304.0,651.0,0.0,12226.0,955.0,13181.0,13181.0,N2,90.6825549,23.8994163,90.7242216,23.9695549,90.70338825,23.9344856,POINT (90.70338825 23.9344856),"LINESTRING (90.6825549 23.8994163, 90.7242216 23.9695549)"
N2-8,Itakhola-Morgal (Int.with Z2042),LRP042,1831,43.097,LRP055,280,54.606,11.509,201.0,2039.0,974.0,1779.0,222.0,1030.0,242.0,859.0,2158.0,387.0,52.0,64.0,0.0,9891.0,116.0,10007.0,10007.0,N2,90.7242216,23.9695549,90.8297493,24.0328049,90.77698545000001,24.001179899999997,POINT (90.77698545000001 24.001179899999997),"LINESTRING (90.7242216 23.9695549, 90.8297493 24.0328049)"
