road,id,model_type,condition,name,lat,lon,length
N1,1000059,bridge,B,BORAKANDI BRIDGE(L),23.5313996605222,90.68744892596,16.6875
N1,1000060,link,NaN,link_LRP036,23.5313996605222,90.68744892596,1585.3124999999968
N1,1000061,bridge,C,Daud Kandi Bridge,23.5303844733,90.7024402743,1408.8
N1,1000062,link,NaN,link_LRP037,23.5303844733,90.7024402743,885.2000000000041
N1,1000063,bridge,C,Baldhakhal Bridge,23.5324186,90.7242807234,14.55
N1,1000064,link,NaN,link_LRP040,23.5324186,90.7242807234,3617.4499999999975
N1,1000065,bridge,C,SHAHID NAGIR,23.5298050611,90.75825325,16.5
N1,1000066,link,NaN,link_LRP043,23.5298050611,90.75825325,2211.5000000000014
N1,1000067,bridge,C,SARKAR BARI CULVERT,23.5307655282208,90.7800797251533,3.9
N1,1000068,link,NaN,link_LRP046,23.5307655282208,90.7800797251533,1703.1000000000006
N1,1000069,bridge,C,AMIRABATH SLAB CULVERT,23.5308683409424,90.7918075171727,6.5
N1,1000070,link,NaN,link_LRP047,23.5308683409424,90.7918075171727,1506.4999999999982
N1,1000071,bridge,C,Ginlatoly,23.5318234765,90.8110155135,15.9
N1,1000072,link,NaN,link_LRP049,23.5318234765,90.8110155135,2158.0999999999995
N1,1000073,bridge,A,RAIPUR BOX CULVERT,23.5329743291,90.8309774761999,12.2
N1,1000074,link,NaN,link_LRP051,23.5329743291,90.8309774761999,1742.8000000000025
N1,1000075,bridge,C,AITAL BANGA BOX CULVERT,23.5229166652,90.8442186132,4.5
N1,1000076,link,NaN,link_LRP053,23.5229166652,90.8442186132,3688.4999999999977
N1,1000077,bridge,C,Illiot bazar Bridge,23.510087758207,90.8757204035353,28.9
N1,1000078,link,NaN,link_LRP056,23.510087758207,90.8757204035353,2803.100000000001
N1,1000079,bridge,B,KHAT GHOR BOX CULVERT,23.5060024341,90.9021745389,5.9
N1,1000080,link,NaN,link_LRP059,23.5060024341,90.9021745389,1986.0999999999972
N1,1000081,bridge,B,BAKRA BOX CULVERT,23.5056131416,90.9214660218,3.0
N1,1000082,link,NaN,link_LRP061,23.5056131416,90.9214660218,2265.000000000001
N1,1000083,bridge,B,MATIA BAZER,23.5024077848,90.9432418928,4.5
N1,1000084,link,NaN,link_LRP064,23.5024077848,90.9432418928,3075.499999999998
N1,1000085,bridge,B,KARON KHAL SLAB CULVERT,23.495896314,90.9715772516,4.6
N1,1000086,link,NaN,link_LRP067,23.495896314,90.9715772516,1857.4000000000092
N1,1000087,bridge,A,MILL GHAT BOX CULVERT,23.4932728146,90.9887200416,4.5
N1,1000088,link,NaN,link_LRP068,23.4932728146,90.9887200416,3111.4999999999995
N1,1000089,bridge,C,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,23.4868805937254,91.017566692647,23.1
