road,id,model_type,length,condition,LRPName,name,chainage,lat,lon
N1,255,link,1302.4166666666595,0,LRP206-road,road N1,203.46258333333333,22.6038394411764,91.6673745588235
N1,256,bridge,4.5,A,LRP207,HATILOTA BOX CULVERT,204.765,22.5938881803921,91.6738889367647
N1,257,link,845.5000000000227,0,LRP207-road,road N1,204.7695,22.5938881803921,91.6738889367647
N1,258,bridge,12.375,C,LRP208,BAROCONDO BRIDGE,205.615,22.5870350167767,91.6770444686922
N1,259,link,1238.6250000000048,0,LRP208-road,road N1,205.627375,22.5870350167767,91.6770444686922
N1,260,bridge,10.2,A,LRP209,BARO-CUNDHOW BOX CULVERT,206.866,22.5767930229508,91.68162274153
N1,261,link,763.7999999999724,0,LRP209-road,road N1,206.8762,22.5767930229508,91.68162274153
N1,262,bridge,5.233333333333333,A,LRP210,PHPMORE BON CULVERT,207.64,22.5702905930578,91.6840096656198
N1,263,link,1378.7666666666812,0,LRP210-road,road N1,207.64523333333332,22.5702905930578,91.6840096656198
N1,264,bridge,4.1,A,LRP211,OHIDPUR BOX CULVERT,209.024,22.5585210862619,91.687506242492
N1,265,link,485.9000000000091,0,LRP211-road,road N1,209.0281,22.5585210862619,91.687506242492
N1,266,bridge,21.6,B,LRP212,BARSH BARIA BRIDGE,209.514,22.5543319776357,91.6887963149094
N1,267,link,940.3999999999891,0,LRP212-road,road N1,209.53560000000002,22.5543319776357,91.6887963149094
N1,268,bridge,4.1,A,LRP213,SOUTH BALSH KHALI BOX CULVERT,210.476,22.5467727210909,91.6926260603636
N1,269,link,952.8999999999936,0,LRP213-road,road N1,210.4801,22.5467727210909,91.6926260603636
N1,270,bridge,8.2,A,LRP214,SOTTANA MONDIR CULVERT,211.433,22.5390300234693,91.6965452744898
N1,271,link,1041.8000000000113,0,LRP214-road,road N1,211.44119999999998,22.5390300234693,91.6965452744898
N1,272,bridge,9.65,B,LRP215,GULAM JUTE MILE BOX CULVERT,212.483,22.5303678038461,91.7004641228571
N1,273,link,2314.3499999999835,0,LRP215-road,road N1,212.49265,22.5303678038461,91.7004641228571
N1,274,bridge,27.0,C,LRP217,BORO KUMIRA BRIDGE,214.807,22.5113471164122,91.7087907889313
N1,275,link,633.000000000025,0,LRP217-road,road N1,214.83399999999997,22.5113471164122,91.7087907889313
N1,276,bridge,11.05,A,LRP218,ROYL CIMINT GATE CULVETRT,215.467,22.5060220437735,91.7112848218867
N1,277,link,1898.9499999999966,0,LRP218-road,road N1,215.47805000000002,22.5060220437735,91.7112848218867
N1,278,bridge,3.0,B,LRP219,GORA MARI BOX CULVERT,217.377,22.4904405976324,91.7182726733934
N1,279,link,561.9999999999977,0,LRP219-road,road N1,217.38,22.4904405976324,91.7182726733934
N1,280,bridge,14.415,D,LRP220,BARAOWLLA BOX CULVERT,217.942,22.4855480068965,91.7195309517241
N1,281,link,1470.5849999999853,0,LRP220-road,road N1,217.95641500000002,22.4855480068965,91.7195309517241
N1,282,bridge,6.0,A,LRP221,HATIBORI BOX CULVERT,219.427,22.4728530893544,91.7232633541336
N1,283,link,1292.0000000000018,0,LRP221-road,road N1,219.433,22.4728530893544,91.7232633541336
N1,284,bridge,24.32,D,LRP223,Modonhat Bridge,220.725,22.4624386352,91.7285307
N1,285,link,1607.680000000005,0,LRP223-road,road N1,220.74931999999998,22.4624386352,91.7285307
N1,286,bridge,3.0,A,LRP224,KODOM RASUL BOX CULVERT,222.357,22.4488628503871,91.7342823894358
N1,287,link,327.0000000000125,0,LRP224-road,road N1,222.35999999999999,22.4488628503871,91.7342823894358
N1,288,bridge,26.3,C,LRP225,SALAKHARPAD BRIDGE,222.687,22.4460793332411,91.7353674287057
N1,289,link,1029.6999999999832,0,LRP225-road,road N1,222.7133,22.4460793332411,91.7353674287057
N1,290,bridge,21.5,A,LRP226,HASNA BAD BOX CULVERT,223.743,22.4375035216216,91.7386659473513
N1,291,link,1937.5000000000032,0,LRP226-road,road N1,223.7645,22.4375035216216,91.7386659473513
N1,292,bridge,35.1,B,LRP228,DHAMAKHALI BRIDGE,225.702,22.4220415536,91.7480209792
N1,293,link,2291.8999999999983,0,LRP228-road,road N1,225.7371,22.4220415536,91.7480209792
N1,294,bridge,5.0,A,LRP230,VATIARI CULVERT,228.029,22.4030145445,91.75657411625
N1,295,link,763.0000000000007,0,LRP230-road,road N1,228.034,22.4030145445,91.75657411625
N1,296,bridge,10.5,A,LRP231,T. B HOSPITAL GATE BOX CULVERT,228.797,22.3963398830265,91.7582551580777
N1,297,link,1322.4999999999984,0,LRP231-road,road N1,228.8075,22.3963398830265,91.7582551580777
N1,298,bridge,3.0,A,LRP232,PAKKA MATA BOX CULVERT,230.13,22.38524588272,91.76250565776
N1,299,link,787.9999999999968,0,LRP232-road,road N1,230.13299999999998,22.38524588272,91.76250565776
N1,300,bridge,8.3,A,LRP233,GLAXO BOX CULVERT,230.921,22.3797011826666,91.7670476533333
N1,301,link,1036.700000000016,0,LRP233-road,road N1,230.92929999999998,22.3797011826666,91.7670476533333
N1,302,bridge,3.0,A,LRP234,CORNAIL HAT BOX CULVERT,231.966,22.3696841276595,91.7739258709219
N1,303,link,784.9999999999825,0,LRP234-road,road N1,231.969,22.3696841276595,91.7739258709219
N1,304,sink,0.0,0,LRP235,road N1,232.754,22.3696841276595,91.7739258709219
