name,length,condition,betweenness,total_delay_time,vehicle_count
KAKKARA CULVERT,5.3,B,0.4417492145650418,116125.8252307743,107801
Chanara Box Culvert,6.1,A,0.44109295019209693,0.0,107782
CHANGARPULL(II) BOX CULVERT,6.3,B,0.4404330246511021,116457.94164133101,107798
PODOYA BOX CULVERT,6.175,A,0.4397694379420575,0.0,107785
UTTOR KAIEATI CULVERT,8.85,A,0.43910219006496287,0.0,107788
DUTHOSHA BOX CULVERT,6.1,B,0.4384312810198184,111137.8837787278,107819
MOHAMMAD ALI MAZAR,4.0,B,0.437756710806624,109678.25980165428,107813
FATAPUR BOX CULVERT,10.8,A,0.4370784794253797,0.0,107788
DEBIPUR SLAB CULVERT,1.6,A,0.4363965868760855,0.0,107790
CHARIPUR CULVERT.,3.4,A,0.4357110331587414,0.0,107785
RAMPUR BOX CULVERT,1.5,A,0.4110338452103913,0.0,73030
Rampur Bridge(L),15.636666666666663,B,0.4102238117793506,183196.64236694138,73089
Lemua Bridge(L),98.87,C,0.4094101171802599,524197.4307037565,73197
FAZAILPUR BOXCULVERT,1.5,A,0.40859276141311934,0.0,73054
Muhuri Bridge(L),193.22,B,0.4077717444779289,346478.27263159445,73126
DHOOM GHAT PC GIRDER,113.35,B,0.4069470663746885,337376.5349284739,73134
BOROYAR PARA SLUB CULVERT,3.0,A,0.40611872710339825,0.0,73040
BAROYARHAT BOX CULVERT,3.0,A,0.4052867266640581,0.0,73042
UTTOR SONAPAR BOX CULVERT,2.6,A,0.404451065056668,0.0,73034
DHARBAR TILA CULVERT,3.15,A,0.40361174228122804,0.0,73031
MAMAFOUN ASTANA CULVERT,1.5,A,0.4027687583377382,0.0,73033
MASTANNAGOR BONCUL(1),4.333333333333333,A,0.4019221132261984,0.0,73034
MUSTAN NAGAR -4,3.0,A,0.4010718069466087,0.0,73031
RAIPUR (2) BOX CULVERT,8.45,A,0.40021783949896916,0.0,73037
MUCHIPOOL CULVERT,9.5,B,0.39936021088327966,82764.50025438759,73078
MIRSARAI BOX CUL,4.5,A,0.3984989210995403,0.0,73044
MIRAISORI BRIDGE,23.2,B,0.39763397014775104,195234.79781228115,73088
Mirsorai(2) box culvert,6.0,A,0.39676535802791185,0.0,73039
IANAINIPOL BOX CULVERT.,9.7,A,0.39589308474002277,0.0,73037
BOKIMTOLA BOX CULVERT,4.0,A,0.39501715028408374,0.0,73036
VARTAKA BOX CULVERT,12.9,A,0.39413755466009487,0.0,73036
VARTAGIA BOX CULVERT,5.55,A,0.3932542978680561,0.0,73036
NIAZAMPUR BOX CULVERT,3.0,A,0.3923673799079674,0.0,73028
MIRJAPUR BOX CULVERT,8.4,A,0.3914768007798288,0.0,73029
DUKHIN UTHPAR BOX CULVERT,19.2,A,0.3905825604836403,0.0,73030
VANGGARPOL BOX CULVERT,4.2,A,0.3896846590194019,0.0,73027
BORO KAMALDA BOX CULVERT,3.2,A,0.3887830963871136,0.0,73034
TARAT BOX CULVERT,6.0,A,0.3878778725867754,0.0,73034
Tarial Bazar Culvert,3.0,A,0.38696898761838733,0.0,73030
SATU DURUAR HAT BOX CULVERT,3.0,A,0.3860564414819493,0.0,73024
RONA SORA CULVERT,6.7,A,0.3851402341774614,0.0,73023
KACHAI PATH BOX CULVERT,3.0,A,0.38422036570492357,0.0,73027
EGOL PUR BOX CULVERT,4.55,A,0.3832968360643359,0.0,73027
SITAKUNDA SLAB,3.0,A,0.3823696452556983,0.0,73023
PURBOMOHADAB PUR SLAB CULVERT(L),4.6,A,0.38143879327901076,0.0,73018
MADICAL MORE CULVERT,3.0,A,0.38050428013427334,0.0,73019
DOKHIN MOHADEB PUR BOX CULVERT,5.583333333333333,A,0.37956610582148603,0.0,73022
HATILOTA BOX CULVERT,4.5,A,0.3786242703406488,0.0,73017
BAROCONDO BRIDGE,12.375,C,0.37767877369176167,334934.0742489207,73089
BARO-CUNDHOW BOX CULVERT,10.2,A,0.3767296158748247,0.0,73020
PHPMORE BON CULVERT,5.233333333333333,A,0.3757767968898377,0.0,73019
OHIDPUR BOX CULVERT,4.1,A,0.37482031673680094,0.0,73019
BARSH BARIA BRIDGE,21.6,B,0.3738601754157142,151993.8296557427,73052
SOUTH BALSH KHALI BOX CULVERT,4.1,A,0.37289637292657757,0.0,73022
SOTTANA MONDIR CULVERT,8.2,A,0.37192890926939104,0.0,73025
GULAM JUTE MILE BOX CULVERT,9.65,A,0.3709577844441546,0.0,73015
BORO KUMIRA BRIDGE,27.0,C,0.3699829984508683,276822.1880856345,73066
ROYL CIMINT GATE CULVETRT,11.05,A,0.369004551289532,0.0,73007
GORA MARI BOX CULVERT,3.0,B,0.3680224429601459,72357.41582208828,73027
BARAOWLLA BOX CULVERT,14.415,A,0.36703667346270985,0.0,73001
HATIBORI BOX CULVERT,6.0,A,0.36604724279722395,0.0,73013
Modonhat Bridge,24.32,D,0.3650541509636881,532251.925451403,73129
KODOM RASUL BOX CULVERT,3.0,A,0.36405739796210235,0.0,72992
SALAKHARPAD BRIDGE,26.3,C,0.3630569837924667,321584.89862518536,73062
HASNA BAD BOX CULVERT,21.5,A,0.36205290845478116,0.0,72995
DHAMAKHALI BRIDGE,35.1,B,0.3610451719490457,227631.53187528197,73044
VATIARI CULVERT,5.0,A,0.36003377427526034,0.0,73003
T. B HOSPITAL GATE BOX CULVERT,10.5,A,0.3590187154334251,0.0,73003
