name,length,condition,betweenness,total_delay_time,vehicle_count
LRP001,11.3,A,0.0019120450140611737,0.0,1406
LRP004,6.6,A,0.0,0.0,1406
KANCHPUR PC GIRDER BRIDGE,397.0,C,0.0009564801530368245,15039.151219005791,1408
KATCHPUR BOX CULVERT,6.866666666666667,B,0.19825362284019687,0.0,61963
NAYABARI KASPUR BOX CULVERT,9.45,A,0.19805408918147724,0.0,61958
KHAS PARA BOX CULVERT,7.7,A,0.1978545555227576,0.0,61960
Madanpur Bridge.(L),27.5,A,0.1998956567105778,0.0,53133
KAWTALA BOX CULVERT,11.9,A,0.19966683370745894,0.0,53136
MALIBAG BOX CULVERT,5.55,B,0.19944075658037752,0.0,53136
Langalbandh Bridge.,159.52,C,0.19921559474530856,261934.59928813178,53198
Darikandi Bridge (R),21.816666666666663,A,0.1991020985357616,0.0,53141
Mollik para Bridge(R),40.415,B,0.19876069461510829,0.0,53138
KRIBORDI BOX CULVERT,8.2,A,0.1985318716119894,0.0,53135
Marikhali Bridge(L),88.33500000000001,A,0.19830304860887055,0.0,53139
SANGAKADI CULVERT,5.5,B,0.1980742256057517,0.0,53131
ASHIR CHAR ( Left),168.61,B,0.19784265672659543,0.0,53136
MEGHNA BRIDGE,900.0,C,0.19761108784743914,466961.6320908156,53223
TATULTALA CULVERT,5.55,A,0.19738226484432028,0.0,53123
MALUAKANDI CULVEDRT,5.6,A,0.19715344184120143,0.0,53117
Bhater char Bridge (L),172.675,A,0.19692461883808257,0.0,53132
Anarpara Bridge (L),29.81,A,0.1966957958349637,0.0,53129
VITIKANDA - ANAR PUR CULVERT,34.7,A,0.19646697283184483,0.0,53127
ALIPURA BRIDGE (LEFT),26.3,B,0.19623540395268857,0.0,53131
Bhaber char Bridge(R),29.8625,A,0.19600017390548238,0.0,53129
PURRANBUICHE BOX CULVERT,7.15,A,0.19576677444230114,0.0,53140
Madhya Baushia Bridge(L),35.629999999999995,A,0.19553154439509496,0.0,53145
LRP035,9.5,A,0.19529265317983888,0.0,53133
BORAKANDI BRIDGE(L),16.6875,B,0.1950528466725703,0.0,53135
Daud Kandi Bridge,1408.8,C,0.1948102942892643,460845.1789084454,53240
Baldhakhal Bridge,14.55,C,0.19456682661394584,128317.35162741247,53157
SHAHID NAGIR,16.5,C,0.19432885069070224,118651.27392220414,53155
SARKAR BARI CULVERT,3.9,C,0.19494255398506702,54716.299962802026,53133
AMIRABATH SLAB CULVERT,6.5,C,0.19583954015729294,52157.15757148142,53136
Ginlatoly,15.9,C,0.19673652632951885,117461.21266981153,53145
RAIPUR BOX CULVERT,12.2,A,0.1976362583777822,0.0,53130
AITAL BANGA BOX CULVERT,4.5,C,0.19853965159409545,48981.701400133454,53139
Illiot bazar Bridge,28.9,C,0.19944945185449603,109162.42621012355,53150
KHAT GHOR BOX CULVERT,5.9,B,0.20036108269892156,0.0,53126
BAKRA BOX CULVERT,3.0,B,0.20127820529542195,0.0,53128
MATIA BAZER,4.5,B,0.2021999043519847,0.0,53132
KARON KHAL SLAB CULVERT,4.6,B,0.20312526457659735,0.0,53125
MILL GHAT BOX CULVERT,4.5,A,0.20405428596925992,0.0,53131
CHANDINA- SHAHA PARA RCC GIDER GRIDGE,23.1,C,0.2049897144060098,166118.9914922002,53168
CORI PAI BOX CULVERT,4.6,B,0.2059324651788595,0.0,53128
COREPAI BOX CULVERT,4.6,B,0.20687704653573416,0.0,53125
NIMSHAR SLAB CULVERT,1.5,A,0.2078216278926088,0.0,53129
KABILA DUBARCHAR SLAB CULVERT,1.0,C,0.20876895512552085,48042.764650113095,53144
NAZIRA BOX CULVERT,3.0,B,0.20971994352648282,0.0,53134
TIPRA BAZAR BOX CULVERT,2.15,A,0.46081657776893,0.0,109627
Dhanpur Bridge,22.85,C,0.46027747077358194,297185.00376768864,109711
Paduar Bazar Bridge,35.97,C,0.459734702610184,269441.538248775,109693
Mostapur Bridge,27.35,C,0.4591882732787362,302794.04264640954,109695
Matigara Bridge,27.35,C,0.45863818277923846,293898.64601203025,109705
Suagazi Bridge.,30.48,A,0.4580844311116908,0.0,109636
LAL BAG RCC GIDER BRIDGE,22.8,C,0.45752701827609327,264145.5509885201,109693
CHANSIRI BOXCUIVERT,14.3,A,0.45696594427244586,0.0,109634
MIABAZAR BOX CULVERT,24.0,A,0.4564012091007485,0.0,109629
NOYA BAZER BOX CULVERT,9.2,A,0.45583281276100124,0.0,109632
DOLL BARI CULVERT,10.9,B,0.4552607552532041,0.0,109639
LALGORE BEZER CULVERT,3.2,A,0.45468503657735704,0.0,109638
SUPUYA BOX CULVERT,13.4,A,0.4541056567334601,0.0,109636
BOWCHI BAZAR CULVERT,4.6,B,0.45352261572151326,0.0,109644
AMAN GONG SLAB CULVERT,6.3,B,0.4529359135415165,0.0,109642
RANGAMATIA (1) BOX CULVERT,3.2,B,0.45234555019346984,0.0,109642
HARISHARDE CULVERT,4.5,B,0.4517515256773733,0.0,109648
SONAGATI BOX CULVERT,8.1,B,0.45115383999322684,0.0,109651
KALIR BAZAR BOX CULVERT,2.8,A,0.45055249314103046,0.0,109643
CHAUDDAGARAM BOX CULVERT,4.3,B,0.44994748512078425,0.0,109641
HAYDAR POLE BOX CULVERT,14.3,B,0.4493388159324881,0.0,109646
FALGUNCORA CULVERT,6.1,A,0.44872648557614203,0.0,109640
ATTOCK GRAM BOX CULVERT,6.1,A,0.448110494051746,0.0,109628
BOSONTA PUR BOX CULVERT,6.1,C,0.4474908413593002,108287.36859888933,109658
BASHONTA PUR (2),9.5,B,0.44686752749880443,0.0,109635
NANKORA BOX CULVERT,3.1,B,0.44624055247025873,0.0,109632
ANDAJER BAZER BOX CULVERT,9.5,A,0.44560991627366314,0.0,109626
DIMATOLI (1) BOX CULVERT,6.3,B,0.4449756189090177,0.0,109630
DIMATOLY (2) BOX CULVERT,3.5,B,0.44433766037632233,0.0,109636
JAGARNATHPUR BOX CULVERT,6.1,B,0.44369604067557705,0.0,109633
JAGOT PUR BOX CULVERT,4.75,B,0.4430507598067819,0.0,109630
FOKIR BAZAR SLAB CULVERT,4.5,B,0.4424018177699368,0.0,109626
KAKKARA CULVERT,5.3,B,0.4417492145650418,0.0,109617
Chanara Box Culvert,6.1,A,0.44109295019209693,0.0,109629
CHANGARPULL(II) BOX CULVERT,6.3,B,0.4404330246511021,0.0,109628
PODOYA BOX CULVERT,6.175,A,0.4397694379420575,0.0,109620
UTTOR KAIEATI CULVERT,8.85,A,0.43910219006496287,0.0,109625
DUTHOSHA BOX CULVERT,6.1,B,0.4384312810198184,0.0,109619
MOHAMMAD ALI MAZAR,4.0,B,0.437756710806624,0.0,109618
FATAPUR BOX CULVERT,10.8,A,0.4370784794253797,0.0,109610
DEBIPUR SLAB CULVERT,1.6,A,0.4363965868760855,0.0,109606
CHARIPUR CULVERT.,3.4,A,0.4357110331587414,0.0,109608
RAMPUR BOX CULVERT,1.5,A,0.4110338452103913,0.0,74122
Rampur Bridge(L),15.636666666666663,B,0.4102238117793506,0.0,74126
Lemua Bridge(L),98.87,C,0.4094101171802599,330246.67606262345,74209
FAZAILPUR BOXCULVERT,1.5,A,0.40859276141311934,0.0,74133
Muhuri Bridge(L),193.22,B,0.4077717444779289,0.0,74143
DHOOM GHAT PC GIRDER,113.35,B,0.4069470663746885,0.0,74148
BOROYAR PARA SLUB CULVERT,3.0,A,0.40611872710339825,0.0,74140
BAROYARHAT BOX CULVERT,3.0,A,0.4052867266640581,0.0,74146
UTTOR SONAPAR BOX CULVERT,2.6,A,0.404451065056668,0.0,74146
DHARBAR TILA CULVERT,3.15,A,0.40361174228122804,0.0,74151
MAMAFOUN ASTANA CULVERT,1.5,A,0.4027687583377382,0.0,74153
MASTANNAGOR BONCUL(1),4.333333333333333,A,0.4019221132261984,0.0,74152
MUSTAN NAGAR -4,3.0,A,0.4010718069466087,0.0,74141
RAIPUR (2) BOX CULVERT,8.45,A,0.40021783949896916,0.0,74136
MUCHIPOOL CULVERT,9.5,B,0.39936021088327966,0.0,74134
MIRSARAI BOX CUL,4.5,A,0.3984989210995403,0.0,74132
MIRAISORI BRIDGE,23.2,B,0.39763397014775104,0.0,74138
Mirsorai(2) box culvert,6.0,A,0.39676535802791185,0.0,74133
IANAINIPOL BOX CULVERT.,9.7,A,0.39589308474002277,0.0,74128
BOKIMTOLA BOX CULVERT,4.0,A,0.39501715028408374,0.0,74134
VARTAKA BOX CULVERT,12.9,A,0.39413755466009487,0.0,74139
VARTAGIA BOX CULVERT,5.55,A,0.3932542978680561,0.0,74139
NIAZAMPUR BOX CULVERT,3.0,A,0.3923673799079674,0.0,74132
MIRJAPUR BOX CULVERT,8.4,A,0.3914768007798288,0.0,74126
DUKHIN UTHPAR BOX CULVERT,19.2,A,0.3905825604836403,0.0,74125
VANGGARPOL BOX CULVERT,4.2,A,0.3896846590194019,0.0,74118
BORO KAMALDA BOX CULVERT,3.2,A,0.3887830963871136,0.0,74119
TARAT BOX CULVERT,6.0,A,0.3878778725867754,0.0,74103
Tarial Bazar Culvert,3.0,A,0.38696898761838733,0.0,74108
SATU DURUAR HAT BOX CULVERT,3.0,A,0.3860564414819493,0.0,74111
RONA SORA CULVERT,6.7,A,0.3851402341774614,0.0,74110
KACHAI PATH BOX CULVERT,3.0,A,0.38422036570492357,0.0,74109
EGOL PUR BOX CULVERT,4.55,A,0.3832968360643359,0.0,74111
SITAKUNDA SLAB,3.0,A,0.3823696452556983,0.0,74114
PURBOMOHADAB PUR SLAB CULVERT(L),4.6,A,0.38143879327901076,0.0,74111
MADICAL MORE CULVERT,3.0,A,0.38050428013427334,0.0,74112
DOKHIN MOHADEB PUR BOX CULVERT,5.583333333333333,A,0.37956610582148603,0.0,74116
HATILOTA BOX CULVERT,4.5,A,0.3786242703406488,0.0,74119
BAROCONDO BRIDGE,12.375,C,0.37767877369176167,225260.70567351958,74173
BARO-CUNDHOW BOX CULVERT,10.2,A,0.3767296158748247,0.0,74112
PHPMORE BON CULVERT,5.233333333333333,A,0.3757767968898377,0.0,74115
OHIDPUR BOX CULVERT,4.1,A,0.37482031673680094,0.0,74114
BARSH BARIA BRIDGE,21.6,B,0.3738601754157142,0.0,74108
SOUTH BALSH KHALI BOX CULVERT,4.1,A,0.37289637292657757,0.0,74110
SOTTANA MONDIR CULVERT,8.2,A,0.37192890926939104,0.0,74113
GULAM JUTE MILE BOX CULVERT,9.65,A,0.3709577844441546,0.0,74110
BORO KUMIRA BRIDGE,27.0,C,0.3699829984508683,175771.70387719592,74148
ROYL CIMINT GATE CULVETRT,11.05,A,0.369004551289532,0.0,74113
GORA MARI BOX CULVERT,3.0,B,0.3680224429601459,0.0,74105
BARAOWLLA BOX CULVERT,14.415,A,0.36703667346270985,0.0,74104
HATIBORI BOX CULVERT,6.0,A,0.36604724279722395,0.0,74105
Modonhat Bridge,24.32,D,0.3650541509636881,313106.0475433325,74182
KODOM RASUL BOX CULVERT,3.0,A,0.36405739796210235,0.0,74114
SALAKHARPAD BRIDGE,26.3,C,0.3630569837924667,205596.26025651576,74155
HASNA BAD BOX CULVERT,21.5,A,0.36205290845478116,0.0,74119
DHAMAKHALI BRIDGE,35.1,B,0.3610451719490457,0.0,74115
VATIARI CULVERT,5.0,A,0.36003377427526034,0.0,74116
T. B HOSPITAL GATE BOX CULVERT,10.5,A,0.3590187154334251,0.0,74116
PAKKA MATA BOX CULVERT,3.0,A,0.35799999542353994,0.0,74114
GLAXO BOX CULVERT,8.3,A,0.35697761424560487,0.0,74107
CORNAIL HAT BOX CULVERT,3.0,A,0.35595157189961996,0.0,74109
BOALIA BOX CULVERT,4.65,C,0.3549218683855851,80762.17517169665,74125
BAKULIA BRIDGE,14.7,B,0.29264997631681916,0.0,27313
5 No hafez bazar Bridge,39.67,C,0.2914152473919898,66918.48991894661,27326
Tulatuli Bridge,44.845,C,0.2901768572991106,70837.68708924476,27330
Hajrath Sha Amanath Satu,914.0,C,0.2889348060381814,249272.63864314044,27381
SHIKALBAHA BRIDGE,11.0,C,0.28768909360920236,81965.63969858614,27327
SHIKALBAHA,15.2,C,0.2864397200121734,71964.6735983777,27328
SOUTH MITTACHORI,3.9,A,0.2851866852470945,0.0,27311
ISLAMPUR CULVERT,2.25,A,0.28392998931396574,0.0,27308
SHIKALBAHA MORE,3.0,A,0.28266963221278707,0.0,27308
SHIKALBAHA BRIDGE,116.5,C,0.2814056139435585,117160.75000333606,27341
SHANTERHAT CULVERT,3.0,B,0.28013793450628005,0.0,27305
SHANTERHAT BOX CULVERT,3.1,B,0.2788665939009517,0.0,27299
KUSUMPUR BOX CULVERT,3.0,A,0.2775915921275734,0.0,27298
MUNSHA BOX CULVERT(L),10.8,B,0.27631292918614525,0.0,27300
MONSHA CULVERT,3.0,A,0.27503060507666716,0.0,27300
Pirol,5.3,A,0.27374461979913917,0.0,27299
UZIRPUR HIGH SCHOOL,3.0,A,0.2724549733535613,0.0,27304
PATIYA BRIDGE,50.8,C,0.2711616657399335,134692.22238623528,27329
PALYA BUS STATION,12.4,A,0.2698646969582558,0.0,27297
SRIMI BRIDGE,60.5,C,0.26856406700852825,115005.24901357935,27336
KOMOLMUNSHE HAT BOX CULVERT,14.0,B,0.26725977589075073,0.0,27301
KHORNA CULVERT,3.0,A,0.26595182360492337,0.0,27304
KHORNA BVS STATION,12.3,C,0.26464021015104605,70050.71412870669,27321
MOJAFFARABAD,7.6,A,0.2633249355291189,0.0,27315
MOJAFFORABAD,9.4,A,0.2620059997391418,0.0,27316
ROWSONAT CUL,14.0,A,0.2606834027811148,0.0,27316
Kanchon Nagar Bridge,11.05,B,0.2593571446550379,0.0,27317
GASBAREA BOX CULVERT,14.0,A,0.2580272253609111,0.0,27313
GASBAREA COLLEGE BOX CULVERT,9.2,A,0.25669364489873436,0.0,27309
Mazar Point Bridge,30.0,D,0.2553564032685078,98550.42516777925,27336
NOYARHAT,12.3,B,0.2540155004702313,0.0,27317
SANGO BRIDGE DOMAJAR,211.3,C,0.2526709365039049,254426.99691499668,27363
KATGOR CULVERT,9.2,A,0.25132271136952855,0.0,27324
MOULOVER DOKAN,20.48333333333333,A,0.24997082506710236,0.0,27325
Noyakhalar Muk Bridge,21.23333333333333,A,0.24861527759662624,0.0,27325
KARANERHAT CULVERT,5.0,A,0.24725606895810023,0.0,27319
KARANERHAT CULVERT,7.2,A,0.2458931991515243,0.0,27322
KOACHIA(MADARBHI),11.2,A,0.2445266681768985,0.0,27321
MITADIGI ACADEMY,2.0,A,0.24315647603422277,0.0,27324
MITADIGI,12.6,A,0.24178262272349715,0.0,27324
Raj Ghata Bridge,23.6,B,0.24040510824472164,0.0,27321
NOYA PARA BOX CULVERT,5.35,A,0.2390239325978962,0.0,27320
PODUA BAZAR BOX CULVERT,9.3,A,0.2376390957830209,0.0,27319
BARO AWLIA(R),8.07,A,0.23625059780009566,0.0,27317
AMIRABAD BOX CULVERT,35.65,A,0.2348584386491205,0.0,27320
AMIRABAD LOHAGOR BOX CULVERT,6.0,A,0.2334626183300955,0.0,27315
LOHAGORA L.S BOX CULVERT,3.0,A,0.23206313684302057,0.0,27316
DIGIRPARK BOX CULVERT,9.4,A,0.23065999418789573,0.0,27316
ZADUNAGOR FILLING BOX CULVERT,24.633333333333336,A,0.229253190364721,0.0,27315
ZADUNAGOR BUS STATION BOX CULVERT,18.1,A,0.22784272537349634,0.0,27316
Hatirpul Bridge,14.866666666666664,B,0.22642859921422182,0.0,27317
MUSKAMPANI PARA BOX CULVERT,2.5,A,0.22501081188689737,0.0,27312
AODU NAGOR (2) BOX CULVERT,1.5,A,0.22358936339152302,0.0,27313
Rataykul Bridge,15.3,A,0.22216425372809878,0.0,27314
BON PUKUL PARA BOX CULVERT,12.65,A,0.22073548289662465,0.0,27316
SANTI BOX CULVERT,1.4,A,0.2193030508971006,0.0,27315
BRICK FIELD BOX CULVERT,6.9,A,0.21786695772952663,0.0,27314
AZIZNAGOR FOREST BOX CULVERT,4.6,A,0.21642720339390278,0.0,27314
AZIZNAGOR BOX CULVERT,2.5,A,0.21498378789022904,0.0,27310
AZIZ NAGOR 1,6.6,A,0.21353671121850537,0.0,27310
HARBHANG CHOR,13.64,A,0.21208597337873183,0.0,27308
GHOIL MARA BOX CULVERT,9.3,A,0.21063157437090838,0.0,27310
HARBANG,3.0,A,0.209173514195035,0.0,27309
HARBANG,3.0,A,0.20771179285111174,0.0,27307
Harbang Chora Bridge,56.2,C,0.20624641033913857,121149.25204191249,27331
ALIPUR BOX CULVERT,8.200000000000001,A,0.2047773666591155,0.0,27302
HAR BAG BOX CULVERT,3.75,A,0.20330466181104254,0.0,27302
ATKOTA,15.8,A,0.20182829579491968,0.0,27301
AKOTA BAZAR BOX CULVERT,21.566666666666663,A,0.2003482686107469,0.0,27299
BODOITOLI BOX CULVERT,14.0,A,0.19886458025852424,0.0,27297
BANIYAR CHORA,14.0,A,0.19737723073825167,0.0,27300
NOL BELA-1 BOX CULVERT,20.8,A,0.19588622004992917,0.0,27304
NOLBELA BOX CULVERT,14.2,B,0.1943915481935568,0.0,27302
DIDDA BAZAR BOX CULVERT,15.7,A,0.19289321516913452,0.0,27304
Mathamuhuri Bridge,294.15,D,0.19139122097666234,401485.7166537152,27404
BANDI BAZAR BOX CULVERT,9.3,B,0.18988556561614026,0.0,27275
KUMARIKOOL BOX CULVERT,19.2,A,0.18837624908756828,0.0,27274
HASIRUGIGI,12.6,A,0.18686327139094638,0.0,27279
CHOHAJANYA (1),12.8,A,0.18534663252627462,0.0,27280
CHOHAJANIYA (2),9.3,A,0.1838263324935529,0.0,27281
Polia Fari Bridge,36.285,C,0.18230237129278132,58679.26720134468,27289
DULAHAJARA CULVERT,3.5,A,0.18077474892395984,0.0,27281
Dulahajar Bridge,54.03,C,0.17924346538708844,114833.20342460411,27302
BOYRAGIR KHIL,32.75,C,0.17770852068216714,58151.1290021038,27296
KHUTAKHALI,1.45,B,0.17616991480919594,0.0,27278
khutakhali bazar,45.3,B,0.17462764776817485,0.0,27277
FULCHARI (NEWPARA),6.1,A,0.17308171955910384,0.0,27278
FULCHARI CULVERT,11.65,A,0.17153213018198293,0.0,27278
NAPITE KHALI CULVERT,2.95,A,0.16997887963681213,0.0,27278
EAST NAPITL KHAL BOX CULVERT,2.5,A,0.16842196792359143,0.0,27279
NAEK KHALI BOX CULVERT,12.4,A,0.1668613950423208,0.0,27275
KHODIA BARI PRIMARY BOX CULVERT,9.5,A,0.16529716099300032,0.0,27272
ISLAMABAD KHODIABARI BOX CULVERT,5.9,A,0.1637292657756299,0.0,27272
Eidgaon Bazar Bridge,45.3,A,0.16215770939020957,0.0,27274
SHAT GOREA PARA BOX CULVERT,10.6,A,0.16058249183673937,0.0,27267
RASHIDNAGAR,2.75,A,0.15900361311521924,0.0,27264
DOLERCHARA CULVERT,9.95,A,0.15742107322564924,0.0,27263
ROSHIDNAGAR (2),14.05,A,0.1558348721680293,0.0,27263
JOARIANALA CULVERT,7.2,A,0.15424500994235948,0.0,27267
JOARIANALA,24.866666666666664,A,0.15265148654863978,0.0,27266
JOARIANALA CULVERT,14.0,B,0.15105430198687014,0.0,27265
MITA CHARI BOX CULVERT,9.2,A,0.14945345625705062,0.0,27274
RAMU HOSPITAL GATE,30.05,A,0.1478489493591812,0.0,27272
MARULA (WEST),4.233333333333333,A,0.14624078129326185,0.0,27274
RAMU BY PASS MORE,11.7,A,0.14462895205929263,0.0,27276
ROMA TECHIPUL,7.8,A,0.1430134616572735,0.0,27275
CHAKMARKOOL,10.9,A,0.14139431008720446,0.0,27274
KHURUTIA BOX CULVERT,4.4,A,0.1397714973490855,0.0,27279
KHURULIA SCHOOL BOX CULVERT,14.133333333333336,A,0.13814502344291668,0.0,27282
Sarkarpara Bridge,11.95,A,0.13651488836869793,0.0,27284
MUKTAR KUL,9.2,A,0.1348810921264293,0.0,27284
Bakkhali Bridge,39.775000000000006,C,0.13324363471611075,74593.32914864102,27307
BESIC AREA,7.9,C,0.1316025161377423,25260.32934234079,27292
KAMBIR GONA,5.900000000000001,C,0.12995773639132394,32579.56913637842,27295
KANAR PARA,9.166666666666666,A,0.1283092954768557,0.0,27289
SOUTH MITHACHARI,4.1,B,0.12665719339433754,0.0,27292
SOUTH MITHACHARI,5.266666666666667,A,0.1250014301437695,0.0,27294
CHALATOLI,3.625,A,0.12334200572515154,0.0,27292
PANCHORI,15.15,A,0.12167892013848368,0.0,27290
PANAR CHORH -3 SLAB CULVERT,2.3428571428571425,C,0.12001217338376592,27071.87149506126,27296
PANCHORI,1.842857142857143,A,0.11834176546099827,0.0,27290
PANAR CHORI SLAB CULVERT,1.3,A,0.1166676963701807,0.0,27289
TULA BAGAN.,2.52,A,0.11498996611131324,0.0,27289
TULA BAGAN,2.5,A,0.11330857468439587,0.0,27283
Modomconiara,16.4,C,0.1116235220894286,57531.0052463202,27295
KHONIA POLONG,8.2,A,0.10993480832641143,0.0,27288
DOA PATONG,24.1,C,0.10824243339534437,83475.35386282702,27313
JASOYA PALONG,25.3,C,0.10654639729622739,65969.16630346792,27302
MORICHIA,20.6,D,0.10484670002906052,119710.31646064762,27322
MORICHIA PALONG,2.4,B,0.10314334159384375,0.0,27293
MORICHIA PALONG,31.8,C,0.10143632199057707,63237.95870764492,27307
SHAPUR,11.8,A,0.09972564121926049,0.0,27295
RATNAPALANG,18.025,A,0.098011299279894,0.0,27293
HIZOLIA BRIDGE,31.05,C,0.09629329617247763,73248.14005152436,27311
JADIMURA BRIDGE,8.666666666666666,C,0.09457163189701134,25917.253278156582,27300
