name,length,condition,betweenness,total_delay_time,vehicle_count
LRP001,11.3,A,0.0019120450140611737,0.0,1401
LRP004,6.6,A,0.0,0.0,1402
KANCHPUR PC GIRDER BRIDGE,397.0,C,0.0009564801530368245,0.0,1401
KATCHPUR BOX CULVERT,6.866666666666667,B,0.19825362284019687,0.0,62447
NAYABARI KASPUR BOX CULVERT,9.45,A,0.19805408918147724,0.0,62444
KHAS PARA BOX CULVERT,7.7,A,0.1978545555227576,0.0,62447
Madanpur Bridge.(L),27.5,A,0.1998956567105778,0.0,53457
KAWTALA BOX CULVERT,11.9,A,0.19966683370745894,0.0,53458
MALIBAG BOX CULVERT,5.55,B,0.19944075658037752,0.0,53457
Langalbandh Bridge.,159.52,C,0.19921559474530856,0.0,53466
Darikandi Bridge (R),21.816666666666663,A,0.1991020985357616,0.0,53466
Mollik para Bridge(R),40.415,B,0.19876069461510829,0.0,53464
KRIBORDI BOX CULVERT,8.2,A,0.1985318716119894,0.0,53466
Marikhali Bridge(L),88.33500000000001,A,0.19830304860887055,0.0,53468
SANGAKADI CULVERT,5.5,B,0.1980742256057517,0.0,53464
ASHIR CHAR ( Left),168.61,B,0.19784265672659543,0.0,53479
MEGHNA BRIDGE,900.0,C,0.19761108784743914,0.0,53488
TATULTALA CULVERT,5.55,A,0.19738226484432028,0.0,53474
MALUAKANDI CULVEDRT,5.6,A,0.19715344184120143,0.0,53475
Bhater char Bridge (L),172.675,A,0.19692461883808257,0.0,53480
Anarpara Bridge (L),29.81,A,0.1966957958349637,0.0,53480
VITIKANDA - ANAR PUR CULVERT,34.7,A,0.19646697283184483,0.0,53477
ALIPURA BRIDGE (LEFT),26.3,B,0.19623540395268857,0.0,53482
Bhaber char Bridge(R),29.8625,A,0.19600017390548238,0.0,53475
PURRANBUICHE BOX CULVERT,7.15,A,0.19576677444230114,0.0,53487
Madhya Baushia Bridge(L),35.629999999999995,A,0.19553154439509496,0.0,53488
LRP035,9.5,A,0.19529265317983888,0.0,53480
BORAKANDI BRIDGE(L),16.6875,B,0.1950528466725703,0.0,53479
Daud Kandi Bridge,1408.8,C,0.1948102942892643,0.0,53494
Baldhakhal Bridge,14.55,C,0.19456682661394584,0.0,53475
SHAHID NAGIR,16.5,C,0.19432885069070224,0.0,53466
SARKAR BARI CULVERT,3.9,C,0.19494255398506702,0.0,53475
AMIRABATH SLAB CULVERT,6.5,C,0.19583954015729294,0.0,53470
Ginlatoly,15.9,C,0.19673652632951885,0.0,53468
RAIPUR BOX CULVERT,12.2,A,0.1976362583777822,0.0,53470
AITAL BANGA BOX CULVERT,4.5,C,0.19853965159409545,0.0,53468
Illiot bazar Bridge,28.9,C,0.19944945185449603,0.0,53468
KHAT GHOR BOX CULVERT,5.9,B,0.20036108269892156,0.0,53462
BAKRA BOX CULVERT,3.0,B,0.20127820529542195,0.0,53460
MATIA BAZER,4.5,B,0.2021999043519847,0.0,53454
KARON KHAL SLAB CULVERT,4.6,B,0.20312526457659735,0.0,53457
MILL GHAT BOX CULVERT,4.5,A,0.20405428596925992,0.0,53465
CHANDINA- SHAHA PARA RCC GIDER GRIDGE,23.1,C,0.2049897144060098,0.0,53465
CORI PAI BOX CULVERT,4.6,B,0.2059324651788595,0.0,53460
COREPAI BOX CULVERT,4.6,B,0.20687704653573416,0.0,53466
NIMSHAR SLAB CULVERT,1.5,A,0.2078216278926088,0.0,53465
KABILA DUBARCHAR SLAB CULVERT,1.0,C,0.20876895512552085,0.0,53462
NAZIRA BOX CULVERT,3.0,B,0.20971994352648282,0.0,53463
TIPRA BAZAR BOX CULVERT,2.15,A,0.46081657776893,0.0,110185
Dhanpur Bridge,22.85,C,0.46027747077358194,0.0,110192
Paduar Bazar Bridge,35.97,C,0.459734702610184,0.0,110198
Mostapur Bridge,27.35,C,0.4591882732787362,0.0,110205
Matigara Bridge,27.35,C,0.45863818277923846,0.0,110206
Suagazi Bridge.,30.48,A,0.4580844311116908,0.0,110212
LAL BAG RCC GIDER BRIDGE,22.8,C,0.45752701827609327,0.0,110189
CHANSIRI BOXCUIVERT,14.3,A,0.45696594427244586,0.0,110205
MIABAZAR BOX CULVERT,24.0,A,0.4564012091007485,0.0,110200
