name,length,condition,betweenness,total_delay_time,vehicle_count
LRP001,11.3,A,0.0019120450140611737,3059.106777708804,1327
LRP004,6.6,A,0.0,1755.371969073413,1324
KANCHPUR PC GIRDER BRIDGE,397.0,C,0.0009564801530368245,34188.93340514065,1330
KATCHPUR BOX CULVERT,6.866666666666667,B,0.19825362284019687,92952.46048118589,59833
NAYABARI KASPUR BOX CULVERT,9.45,A,0.19805408918147724,72548.85247097642,59817
KHAS PARA BOX CULVERT,7.7,A,0.1978545555227576,61309.22085774838,59804
Madanpur Bridge.(L),27.5,A,0.1998956567105778,133094.8204067616,51145
KAWTALA BOX CULVERT,11.9,A,0.19966683370745894,134931.83521094205,51140
MALIBAG BOX CULVERT,5.55,B,0.19944075658037752,82537.5060986801,51142
Langalbandh Bridge.,159.52,C,0.19921559474530856,661397.413803885,51255
Darikandi Bridge (R),21.816666666666663,A,0.1991020985357616,123687.70016421669,51136
Mollik para Bridge(R),40.415,B,0.19876069461510829,207699.20269572083,51156
KRIBORDI BOX CULVERT,8.2,A,0.1985318716119894,56528.66591255204,51129
Marikhali Bridge(L),88.33500000000001,A,0.19830304860887055,256651.11010150268,51174
SANGAKADI CULVERT,5.5,B,0.1980742256057517,74043.62630541557,s51127
ASHIR CHAR ( Left),168.61,B,0.19784265672659543,385243.4821264094,51191
MEGHNA BRIDGE,900.0,C,0.19761108784743914,1200222.474337037,51403
TATULTALA CULVERT,5.55,A,0.19738226484432028,54594.89994021946,51118
MALUAKANDI CULVEDRT,5.6,A,0.19715344184120143,52904.17666420135,51123
Bhater char Bridge (L),172.675,A,0.19692461883808257,209275.53459214364,51158
Anarpara Bridge (L),29.81,A,0.1966957958349637,104112.96019158905,51141
VITIKANDA - ANAR PUR CULVERT,34.7,A,0.19646697283184483,132425.7755521253,51158
ALIPURA BRIDGE (LEFT),26.3,B,0.19623540395268857,166285.25748670974,51185
Bhaber char Bridge(R),29.8625,A,0.19600017390548238,127751.80737925017,51169
PURRANBUICHE BOX CULVERT,7.15,A,0.19576677444230114,56776.23569665807,51164
Madhya Baushia Bridge(L),35.629999999999995,A,0.19553154439509496,116791.04292203076,51178
LRP035,9.5,A,0.19529265317983888,57914.25755531463,51159
BORAKANDI BRIDGE(L),16.6875,B,0.1950528466725703,170843.6884093044,51187
Daud Kandi Bridge,1408.8,C,0.1948102942892643,1201811.0769509145,51446
Baldhakhal Bridge,14.55,C,0.19456682661394584,322775.1936128776,51241
SHAHID NAGIR,16.5,C,0.19432885069070224,319607.01160915586,51224
SARKAR BARI CULVERT,3.9,C,0.19494255398506702,141615.95242592765,51200
AMIRABATH SLAB CULVERT,6.5,C,0.19583954015729294,135356.75747627273,51195
Ginlatoly,15.9,C,0.19673652632951885,313028.94802381785,51240
RAIPUR BOX CULVERT,12.2,A,0.1976362583777822,129002.64654317673,51183
AITAL BANGA BOX CULVERT,4.5,C,0.19853965159409545,129483.20539804731,51199
Illiot bazar Bridge,28.9,C,0.19944945185449603,283242.6843094773,51230
KHAT GHOR BOX CULVERT,5.9,B,0.20036108269892156,82763.8516703774,51181
BAKRA BOX CULVERT,3.0,B,0.20127820529542195,86493.52909206781,51182
MATIA BAZER,4.5,B,0.2021999043519847,86559.93517245527,51192
KARON KHAL SLAB CULVERT,4.6,B,0.20312526457659735,78915.87398484648,51186
MILL GHAT BOX CULVERT,4.5,A,0.20405428596925992,50976.6731046485,51169
CHANDINA- SHAHA PARA RCC GIDER GRIDGE,23.1,C,0.2049897144060098,441930.9785343523,51255
CORI PAI BOX CULVERT,4.6,B,0.2059324651788595,88271.66826742663,51190
COREPAI BOX CULVERT,4.6,B,0.20687704653573416,83169.46361832158,51196
NIMSHAR SLAB CULVERT,1.5,A,0.2078216278926088,54728.97400992638,51179
KABILA DUBARCHAR SLAB CULVERT,1.0,C,0.20876895512552085,121600.91283166947,51196
NAZIRA BOX CULVERT,3.0,B,0.20971994352648282,82038.02749658804,51186
TIPRA BAZAR BOX CULVERT,2.15,A,0.46081657776893,96222.76410701507,104671
Dhanpur Bridge,22.85,C,0.46027747077358194,755872.0408977624,104804
Paduar Bazar Bridge,35.97,C,0.459734702610184,692585.9388279596,104746
Mostapur Bridge,27.35,C,0.4591882732787362,779843.6444576974,104773
Matigara Bridge,27.35,C,0.45863818277923846,754280.0700698881,104777
Suagazi Bridge.,30.48,A,0.4580844311116908,254493.7043876768,104652
LAL BAG RCC GIDER BRIDGE,22.8,C,0.45752701827609327,689263.4569018095,104739
CHANSIRI BOXCUIVERT,14.3,A,0.45696594427244586,256704.67135066533,104676
MIABAZAR BOX CULVERT,24.0,A,0.4564012091007485,259260.23256544519,104657
NOYA BAZER BOX CULVERT,9.2,A,0.45583281276100124,106590.05819679925,104610
DOLL BARI CULVERT,10.9,B,0.4552607552532041,403473.42953484546,104683
LALGORE BEZER CULVERT,3.2,A,0.45468503657735704,115314.51575852302,104606
SUPUYA BOX CULVERT,13.4,A,0.4541056567334601,272583.914338443,104635
BOWCHI BAZAR CULVERT,4.6,B,0.45352261572151326,160771.95595328903,104628
AMAN GONG SLAB CULVERT,6.3,B,0.4529359135415165,156858.13870103157,104646
RANGAMATIA (1) BOX CULVERT,3.2,B,0.45234555019346984,178676.772511747,104618
HARISHARDE CULVERT,4.5,B,0.4517515256773733,181300.2793413354,104627
